
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
MailRuUpdater.exe             5368 Services                   0     11,072 K Unknown         N/A                                                     0:00:01 N/A                                                                     
TeamViewer_Service.exe        5376 Services                   0     26,656 K Unknown         N/A                                                     0:00:09 N/A                                                                     
MsMpEng.exe                   5384 Services                   0    256,092 K Unknown         N/A                                                     1:55:57 N/A                                                                     
RtkAudUService64.exe          5392 Services                   0      7,712 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5416 Services                   0     67,796 K Unknown         N/A                                                     0:01:08 N/A                                                                     
OfficeClickToRun.exe          5432 Services                   0     33,740 K Unknown         N/A                                                     0:00:31 N/A                                                                     
LMS.exe                       5444 Services                   0      3,972 K Unknown         N/A                                                     0:00:00 N/A                                                                     
service_update.exe            5456 Services                   0      9,616 K Unknown         N/A                                                     0:00:00 N/A                                                                     
RstMwService.exe              5464 Services                   0      5,404 K Unknown         N/A                                                     0:00:00 N/A                                                                     
OriginWebHelperService.ex     5480 Services                   0     13,456 K Unknown         N/A                                                     0:00:16 N/A                                                                     
mysqld.exe                    5516 Services                   0     32,664 K Unknown         N/A                                                     0:00:00 N/A                                                                     
jhi_service.exe               5524 Services                   0      4,252 K Unknown         N/A                                                     0:00:00 N/A                                                                     
mysqld.exe                    5548 Services                   0     53,640 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5668 Services                   0     19,720 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   5680 Services                   0     15,648 K Unknown         N/A                                                     0:00:00 N/A                                                                     
service_update.exe            6060 Services                   0      7,072 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   6080 Services                   0     11,924 K Unknown         N/A                                                     0:00:00 N/A                                                                     
SECOCL64.exe                  6136 Services                   0      8,132 K Unknown         N/A                                                     0:00:00 N/A                                                                     
conhost.exe                   6312 Services                   0      4,824 K Unknown         N/A                                                     0:00:02 N/A                                                                     
svchost.exe                   6372 Services                   0     27,564 K Unknown         N/A                                                     0:00:08 N/A                                                                     
com.docker.service            6724 Services                   0      9,672 K Unknown         N/A                                                     0:00:01 N/A                                                                     
mysqld.exe                    7460 Services                   0     31,652 K Unknown         N/A                                                     0:00:07 N/A                                                                     
conhost.exe                   7488 Services                   0      4,200 K Unknown         N/A                                                     0:00:00 N/A                                                                     
mysqld.exe                    7572 Services                   0     33,188 K Unknown         N/A                                                     0:00:28 N/A                                                                     
conhost.exe                   7616 Services                   0      4,208 K Unknown         N/A                                                     0:00:00 N/A                                                                     
sihost.exe                    5156 Console                    1     25,548 K Running         DESKTOP-R604OCC\User                                    0:00:10 N/A                                                                     
svchost.exe                    992 Console                    1     45,744 K Unknown         DESKTOP-R604OCC\User                                    0:00:16 N/A                                                                     
svchost.exe                    984 Console                    1     15,924 K Unknown         DESKTOP-R604OCC\User                                    0:00:00 N/A                                                                     
svchost.exe                   9256 Console                    1     62,456 K Running         DESKTOP-R604OCC\User                                    0:00:06 Windows Push Notifications Platform                                     
taskhostw.exe                 9384 Console                    1     21,948 K Running         DESKTOP-R604OCC\User                                    0:00:05 Task Host Window                                                        
